puntaje_psu	año_egreso	estudiantes
0		12935
2160		1
2245		1
2385		1
2405		1
2465		1
2540		1
2560		1
2575		1
2615		1
2640		1
2650		2
2655		1
2665		1
2670		1
2760		1
2780		2
2790		2
2840		1
2855		1
2880		1
2885		2
2890		1
2895		1
2905		1
2930		1
2945		1
2950		2
2980		4
2985		2
2995		5
3010		3
3015		1
3025		1
3035		1
3040		1
3045		1
3055		4
3060		1
3075		1
3085		2
3095		2
3100		1
3115		2
3125		2
3135		2
3145		2
3165		1
3175		2
3185		3
3190		2
3210		2
3215		1
3220		3
3235		1
3245		5
3270		6
3280		7
3305		2
3315		3
3320		1
3335		5
3340		1
3350		2
3355		2
3365		3
3370		2
3375		1
3380		1
3385		1
3390		1
3395		1
3400		4
3410		4
3415		3
3420		2
3430		2
3440		1
3445		2
3450		4
3460		1
3470		6
3475		1
3490		2
3495		2
3500		3
3505		4
3515		1
3520		7
3525		1
3530		8
3545		5
3560		2
3565		2
3570		7
3575		3
3580		3
3590		2
3600		3
3605		2
3610		1
3615		1
3620		10
3625		1
3640		5
3645		1
3650		2
3665		7
3670		12
3675		6
3685		3
3695		1
3700		8
3705		6
3715		1
3720		3
3725		3
3730		5
3735		3
3740		5
3745		1
3750		1
3755		4
3770		13
3775		4
3780		3
3785		6
3790		1
3800		5
3805		8
3810		1
3815		1
3820		13
3825		2
3830		2
3835		6
3845		4
3850		1
3855		9
3865		5
3875		5
3880		1
3885		6
3890		6
3900		17
3905		9
3915		3
3920		6
3925		7
3930		2
3935		5
3940		2
3945		10
3950		4
3955		7
3960		6
3965		1
3970		1
3975		7
3980		6
3985		5
3995		13
4005		1
4010		5
4020		10
4025		8
4030		1
4035		3
4045		3
4050		8
4055		10
4060		11
4065		8
4080		7
4090		11
4095		4
4100		3
4105		4
4110		5
4115		2
4120		10
4125		8
4130		2
4135		4
4140		7
4145		1
4150		4
4155		2
4160		12
4165		12
4170		4
4175		14
4180		1
4185		13
4190		2
4195		13
4205		14
4210		6
4215		1
4220		9
4225		2
4230		2
4240		10
4245		12
4250		2
4255		1
4260		6
4265		2
4270		5
4275		8
4280		13
4285		5
4290		10
4295		1
4300		2
4305		8
4310		8
4315		10
4320		7
4325		1
4330		7
4335		4
4340		12
4345		5
4350		6
4355		2
4360		3
4365		8
4370		6
4375		8
4380		6
4385		2
4390		1
4395		5
4400		3
4405		6
4410		18
4415		3
4420		5
4425		7
4430		7
4435		4
4440		9
4445		10
4450		8
4455		2
4460		7
4465		4
4470		5
4480		21
4485		1
4490		2
4495		10
4500		1
4505		10
4510		9
4525		11
4530		2
4535		7
4540		7
4545		9
4550		7
4555		2
4560		11
4565		15
4570		8
4575		1
4580		3
4585		1
4590		8
4595		13
4600		11
4605		1
4610		7
4615		6
4620		13
4625		7
4630		10
4635		5
4640		5
4645		6
4650		9
4655		11
4660		7
4665		9
4670		6
4675		4
4680		13
4685		9
4690		11
4695		5
4700		3
4705		12
4710		14
4715		5
4720		2
4725		12
4730		11
4735		7
4740		2
4745		13
4750		14
4755		4
4760		14
4765		14
4770		18
4775		1
4780		9
4785		20
4790		7
4795		15
4800		12
4805		3
4810		8
4815		12
4820		18
4825		17
4830		7
4835		10
4840		10
4845		9
4850		13
4855		12
4860		3
4865		11
4870		2
4875		13
4880		12
4885		3
4890		14
4895		12
4900		11
4905		1
4910		4
4915		11
4920		4
4925		16
4930		10
4935		15
4940		3
4945		6
4950		22
4955		6
4960		2
4965		9
4970		9
4975		13
4980		24
4985		1
4990		5
4995		6
5000		16
5005		30
5015		4
5020		12
5025		12
5030		20
5035		8
5040		11
5045		16
5050		1
5055		17
5060		25
5065		4
5070		14
5075		4
5080		7
5085		13
5090		9
5095		16
5100		8
5105		8
5110		13
5115		8
5120		11
5125		9
5130		7
5135		19
5140		5
5145		16
5150		24
5155		6
5160		7
5165		6
5170		16
5175		9
5180		9
5185		7
5190		4
5195		6
5200		17
5205		13
5210		14
5215		4
5220		4
5225		26
5230		2
5235		6
5240		17
5245		9
5250		13
5255		11
5260		5
5265		10
5270		10
5275		20
5280		18
5285		8
5290		12
5295		9
5300		10
5305		14
5310		7
5315		5
5320		18
5325		3
5330		20
5335		9
5340		5
5345		5
5350		12
5355		11
5360		6
5370		17
5375		7
5380		14
5385		16
5390		7
5395		10
5400		3
5405		13
5410		9
5415		8
5420		6
5425		12
5430		13
5435		6
5440		9
5445		10
5450		1
5455		9
5460		14
5465		12
5470		8
5475		8
5480		5
5485		18
5490		10
5495		5
5500		5
5505		10
5510		8
5515		5
5520		6
5525		6
5530		6
5535		18
5540		6
5545		7
5550		12
5555		8
5560		7
5565		14
5570		3
5575		10
5580		8
5585		7
5590		16
5595		5
5600		10
5605		7
5610		7
5615		10
5620		16
5625		5
5630		2
5635		12
5640		6
5645		13
5650		6
5655		8
5660		7
5665		6
5670		17
5675		11
5680		8
5685		7
5690		4
5695		9
5700		14
5705		7
5710		9
5715		3
5720		11
5725		3
5730		16
5735		8
5740		11
5745		4
5750		3
5755		10
5760		12
5765		4
5770		4
5775		12
5780		2
5785		10
5790		3
5795		7
5800		3
5805		7
5810		6
5815		7
5820		3
5825		9
5830		5
5835		6
5840		9
5845		10
5850		12
5855		8
5860		9
5865		17
5870		8
5875		6
5880		9
5885		5
5890		7
5895		9
5900		8
5905		9
5910		1
5915		6
5920		8
5925		6
5930		14
5935		2
5940		4
5945		10
5950		8
5955		8
5960		8
5965		4
5970		4
5975		10
5980		5
5985		10
5990		9
5995		4
6000		3
6005		2
6010		4
6015		9
6020		9
6025		9
6030		4
6035		4
6040		11
6045		8
6050		9
6055		9
6060		8
6065		7
6070		18
6075		2
6080		6
6085		5
6090		3
6095		12
6100		7
6105		2
6110		6
6115		7
6120		7
6130		3
6135		5
6140		10
6145		4
6150		4
6155		10
6160		1
6165		1
6170		3
6175		8
6180		3
6185		6
6190		5
6195		6
6200		1
6205		1
6210		12
6215		3
6220		2
6225		2
6230		8
6235		5
6240		3
6245		6
6250		7
6255		5
6260		5
6265		3
6270		6
6275		3
6280		1
6290		4
6295		6
6300		2
6305		6
6310		7
6315		4
6320		4
6325		4
6330		1
6335		2
6340		2
6345		3
6350		5
6355		3
6360		4
6365		5
6370		4
6375		4
6380		2
6385		2
6390		6
6395		4
6400		1
6405		4
6410		1
6415		5
6420		5
6425		3
6430		4
6435		2
6440		8
6445		3
6450		5
6455		4
6465		2
6470		5
6475		6
6480		4
6485		3
6490		1
6495		2
6500		5
6505		2
6510		3
6515		5
6520		2
6525		4
6530		3
6535		5
6540		2
6550		3
6555		2
6560		5
6565		2
6570		5
6575		1
6585		1
6590		4
6610		3
6615		1
6620		2
6625		1
6630		2
6640		3
6645		2
6655		8
6660		4
6665		1
6670		3
6675		1
6680		2
6685		3
6690		3
6695		3
6700		1
6705		1
6710		3
6715		1
6720		2
6725		3
6730		1
6750		1
6760		3
6765		3
6775		2
6785		2
6790		1
6795		3
6800		1
6810		1
6815		1
6820		2
6825		1
6830		2
6835		1
6840		1
6845		1
6850		2
6855		2
6870		1
6875		1
6880		2
6885		1
6890		1
6895		2
6900		1
6905		6
6910		1
6915		2
6920		1
6925		4
6930		1
6935		5
6950		1
6955		1
6960		1
6965		3
6975		2
6980		1
6985		1
6995		3
7010		1
7015		1
7020		1
7030		2
7035		2
7045		1
7055		2
7060		1
7070		1
7085		1
7095		1
7105		2
7115		2
7120		2
7135		1
7145		1
7150		1
7170		4
7195		1
7200		2
7215		2
7220		1
7235		1
7240		1
7250		1
7255		1
7265		1
7270		1
7285		1
7360		1
7365		1
7370		4
7385		1
7400		1
7440		3
7455		2
7515		1
7520		1
7525		1
7540		2
7550		1
7570		2
7630		1
7740		1
7825		1
7905		1
8025		1
8210		1
0	2002	307
3355	2002	1
3695	2002	1
3780	2002	1
3855	2002	1
3900	2002	1
3960	2002	1
4185	2002	1
4205	2002	1
4280	2002	1
4360	2002	1
4410	2002	1
4440	2002	1
4450	2002	1
4530	2002	1
4545	2002	1
4610	2002	1
4715	2002	1
4785	2002	1
4840	2002	1
4915	2002	1
4985	2002	1
5060	2002	1
5090	2002	1
5110	2002	1
5150	2002	1
5170	2002	1
5195	2002	1
5205	2002	1
5250	2002	1
5290	2002	1
5305	2002	1
5335	2002	1
5355	2002	2
5360	2002	2
5380	2002	1
5450	2002	1
5470	2002	1
5490	2002	1
5500	2002	1
5540	2002	1
5575	2002	1
5580	2002	1
5825	2002	1
5855	2002	1
5885	2002	1
5910	2002	1
5915	2002	1
5990	2002	1
6015	2002	1
6055	2002	1
6085	2002	1
6120	2002	1
6155	2002	1
6170	2002	1
6240	2002	1
6395	2002	2
6485	2002	1
6575	2002	1
6755	2002	1
6760	2002	1
6785	2002	1
6795	2002	1
6810	2002	1
6855	2002	1
6945	2002	1
0	2003	510
2835	2003	1
3660	2003	1
3805	2003	1
3820	2003	1
3855	2003	1
4055	2003	1
4060	2003	1
4205	2003	1
4220	2003	1
4255	2003	1
4275	2003	1
4455	2003	2
4465	2003	1
4550	2003	1
4600	2003	2
4620	2003	2
4650	2003	2
4695	2003	1
4710	2003	1
4735	2003	1
4760	2003	1
4800	2003	1
4825	2003	1
4855	2003	1
4875	2003	1
4880	2003	1
4920	2003	1
4935	2003	1
4995	2003	1
5000	2003	1
5025	2003	1
5030	2003	1
5135	2003	1
5145	2003	1
5160	2003	1
5175	2003	1
5225	2003	3
5250	2003	2
5255	2003	3
5305	2003	1
5310	2003	1
5320	2003	1
5335	2003	1
5360	2003	1
5370	2003	1
5405	2003	1
5425	2003	2
5460	2003	1
5470	2003	1
5475	2003	1
5530	2003	1
5580	2003	1
5590	2003	1
5650	2003	1
5665	2003	1
5675	2003	1
5700	2003	1
5720	2003	2
5740	2003	2
5755	2003	1
5790	2003	1
5795	2003	1
5825	2003	1
5840	2003	1
5850	2003	2
5855	2003	1
5860	2003	1
5865	2003	2
5945	2003	1
5950	2003	1
5970	2003	1
5990	2003	1
5995	2003	1
6015	2003	1
6020	2003	1
6030	2003	1
6035	2003	1
6040	2003	1
6100	2003	1
6105	2003	1
6135	2003	2
6155	2003	1
6165	2003	1
6170	2003	1
6175	2003	1
6195	2003	1
6275	2003	1
6345	2003	1
6375	2003	1
6390	2003	1
6460	2003	1
6500	2003	1
6530	2003	2
6535	2003	1
6585	2003	1
6605	2003	1
6685	2003	1
6735	2003	1
6745	2003	1
6810	2003	1
6845	2003	1
6900	2003	1
6935	2003	1
6945	2003	2
7075	2003	1
7155	2003	1
7195	2003	1
7330	2003	1
7560	2003	1
7575	2003	1
0	2004	1292
2490	2004	1
2790	2004	1
2890	2004	1
3055	2004	1
3420	2004	1
3520	2004	1
3530	2004	2
