estudiantes	agno_ingreso	tipo_ie	nem	psu	ranking_10	ranking_75	dependencia	año_egreso	QUINTIL
2213	2013	IP	S/I	S/I			S/I	S/I	2
1944	2013	IP	S/I	S/I			S/I	S/I	3
1585	2013	IP	S/I	S/I			S/I	S/I	4
1529	2013	IP	S/I	S/I			S/I	S/I	1
1449	2013	IP	50a55	100a475	0	0	PS	2012	2
1395	2013	IP	50a55	100a475	0	0	PS	2012	1
1152	2013	IP	50a55	100a475	0	0	MUN	2012	1
969	2013	CFT	S/I	S/I			S/I	S/I	2
902	2013	IP	50a55	100a475	0	0	PS	2012	3
865	2013	CFT	50a55	100a475	0	0	PS	2012	1
834	2013	IP	55a60	100a475	0	0	MUN	2012	1
821	2013	IP	50a55	100a475	0	0	MUN	2012	2
767	2010	IP	S/I	S/I			S/I	S/I	5
763	2013	CFT	50a55	100a475	0	0	MUN	2012	1
744	2013	CFT	S/I	S/I			S/I	S/I	3
739	2013	IP	50a55	S/I	0	0	PS	2008oAnterior	2
734	2013	CFT	50a55	100a475	0	0	PS	2012	2
689	2013	CFT	S/I	S/I			S/I	S/I	1
674	2013	IP	50a55	100a475	0	0	PS	2012	4
673	2013	IP	55a60	100a475	0	0	PS	2012	1
643	2013	IP	50a55	S/I	0	0	MUN	2008oAnterior	2
614	2013	U-CRUCH	60a70	600a700	0	0	PP	2012	5
610	2013	IP	50a55	100a475	0	0	PS	2011	2
594	2013	IP	55a60	100a475	0	0	PS	2012	2
584	2013	CFT	S/I	S/I			S/I	S/I	4
576	2013	IP	55a60	100a475	0	0	MUN	2012	2
574	2013	CFT	55a60	100a475	0	0	MUN	2012	1
553	2013	U-CRUCH	55a60	550a600	0	0	PS	2012	2
552	2013	U-CRUCH	60a70	600a700	1	1	PS	2012	2
532	2013	IP	50a55	S/I	0	0	PS	2008oAnterior	3
517	2013	IP	50a55	S/I	0	0	MUN	2008oAnterior	1
515	2013	U-CRUCH	55a60	500a550	0	0	PS	2012	2
509	2013	IP	50a55	100a475	0	0	PS	2011	1
509	2013	U-CRUCH	60a70	600a700	0	0	PS	2012	4
493	2013	CFT	50a55	100a475	0	0	MUN	2012	2
492	2013	U-CRUCH	60a70	600a700	0	0	PS	2012	2
490	2013	IP	50a55	S/I	0	0	PS	2008oAnterior	4
489	2013	IP	50a55	S/I	0	0	MUN	2008oAnterior	3
482	2013	U-CRUCH	55a60	550a600	0	0	PS	2012	4
471	2013	U-CRUCH	55a60	550a600	0	0	PS	2012	3
465	2013	U-CRUCH	60a70	600a700	1	1	PS	2012	4
459	2013	U-CRUCH	60a70	700a900	0	0	PP	2012	5
452	2013	U-CRUCH	60a70	600a700	1	1	PS	2012	3
450	2013	U-CRUCH	60a70	600a700	0	0	PS	2012	3
446	2013	IP	50a55	S/I	0	0	PS	2008oAnterior	1
442	2013	IP	50a55	100a475	0	0	MUN	2012	3
437	2013	U-CRUCH	60a70	600a700	0	0	PS	2012	5
435	2013	U-PRIVADA	50a55	500a550	0	0	PS	2012	3
430	2013	CFT	50a55	100a475	0	0	PS	2012	3
429	2013	IP	50a55	100a475	0	0	MUN	2011	1
427	2013	U-PRIVADA	50a55	500a550	0	0	PS	2012	2
416	2013	U-PRIVADA	55a60	500a550	0	0	PS	2012	2
405	2013	CFT	55a60	100a475	0	0	PS	2012	1
405	2013	U-PRIVADA	50a55	500a550	0	0	PS	2012	4
400	2013	U-CRUCH	55a60	500a550	0	0	PS	2012	1
